Model,In,Out,Batch,Compiled,Fwd Mean (ms),Fwd Std (ms),Bwd Mean (ms),Bwd Std (ms)
Lorentz_FC (MLR),16,16384,512,False,0.40177208847469753,0.0018464278809066544,0.5091783086458842,0.00218192977923376
Lorentz_FC cached (MLR),16,16384,512,False,0.24031418460336598,0.0013768318619371204,0.4231977649899416,0.0018120551681625344
Lorentz_FC + ReLU,16,16384,512,False,0.43598434202214503,0.003936079215544911,0.5948043614625931,0.001490189137302162
Lorentz_FC cached + ReLU,16,16384,512,False,0.270313243733512,0.0013217842623325245,0.512500622537401,0.0026582110199800074
BdeirLorentzMLR,16,16384,512,False,0.982741329818964,0.005136866956589651,1.8739417689911864,0.0031719660670852935
"ChenLinear (bias=F, norm=F)",16,16384,512,False,0.29445119947195053,0.0012319956265007697,0.513501869307624,0.0025688528500416746
"ChenLinear (bias=T, norm=T)",16,16384,512,False,0.552362664292256,0.005413799095527646,1.2940091807791527,0.003169263794916377
Poincare_Dist2Hyperplanes,16,16384,512,False,0.6656853295862675,0.004701088230025236,1.2358826597531636,0.002879942915709704
Poincare_Linear,16,16384,512,False,1.2372591288193413,0.0038281113637371315,2.9085085696362434,0.003368391219978236
PoincareActivation (ReLU),16,16384,512,False,0.48013061345839986,0.005475984472233432,0.8150220811367035,0.004944295917661683
Euclidean Linear,16,16384,512,False,0.07368442796646281,0.001136700590475897,0.16462434035666446,0.0012355495182988846
Euclidean Linear no bias,16,16384,512,False,0.06467128843069077,0.0007145391801788534,0.12579617487347644,0.001000751081762907
Euclidean Linear + ReLU,16,16384,512,False,0.13200695391582407,0.001364281786233777,0.2350312735546719,0.0011446301806854508
Euclidean Linear no bias + ReLU,16,16384,512,False,0.12239127030426805,0.0008310012734557485,0.20095307802831805,0.0008716739793329163
Lorentz_FC (MLR),32,16384,512,False,0.41601567426506353,0.004550284882605899,0.5810269171541388,0.0017778916921461787
Lorentz_FC cached (MLR),32,16384,512,False,0.25600000506355647,0.0015319304515375074,0.4921443898503373,0.0012769350529888814
Lorentz_FC + ReLU,32,16384,512,False,0.4515839992685521,0.0037845894756329077,0.6704696893692017,0.0022862234286701176
Lorentz_FC cached + ReLU,32,16384,512,False,0.28348509764129465,0.0009749564302243269,0.5816765246183976,0.003026823940125874
BdeirLorentzMLR,32,16384,512,False,0.9895086884498596,0.0029870626129260237,1.9024139150329258,0.003176343519921159
"ChenLinear (bias=F, norm=F)",32,16384,512,False,0.29604977965354917,0.0018472683744631666,0.5814857241653261,0.0016657712713954989
"ChenLinear (bias=T, norm=T)",32,16384,512,False,0.5513259565576594,0.005142440129161244,1.3659927411512895,0.0026959096671609045
Poincare_Dist2Hyperplanes,32,16384,512,False,0.6762539604876904,0.0033443230906603392,1.250793729139411,0.003545585417158163
Poincare_Linear,32,16384,512,False,1.2468535563220149,0.0034452482077025524,2.924288049340248,0.0032279857296150095
PoincareActivation (ReLU),32,16384,512,False,0.4775936013460159,0.005502989521592966,0.8117705583572388,0.004021622581324479
Euclidean Linear,32,16384,512,False,0.08185321529922278,0.0014066690338294374,0.1830288677111916,0.001423305223752603
Euclidean Linear no bias,32,16384,512,False,0.07319272969934074,0.0007070469898927165,0.14427269574092783,0.0017111943898134978
Euclidean Linear + ReLU,32,16384,512,False,0.14003768894407484,0.001124962587452376,0.25481671161121794,0.0013983124961694125
Euclidean Linear no bias + ReLU,32,16384,512,False,0.130706287920475,0.0006636769848535886,0.21813426199166672,0.002439062831170657
Lorentz_FC (MLR),64,16384,512,False,0.4404693307975928,0.0037097304557208526,0.6554055094718934,0.0023742156386000234
Lorentz_FC cached (MLR),64,16384,512,False,0.2807095659815747,0.002531872067867827,0.5567226063373477,0.0019718216364908014
Lorentz_FC + ReLU,64,16384,512,False,0.476639320875736,0.0035900700691119994,0.7444262124122457,0.002521494700584045
Lorentz_FC cached + ReLU,64,16384,512,False,0.31013236059383914,0.0011875907215784874,0.6459847185346815,0.002253367764178201
BdeirLorentzMLR,64,16384,512,False,1.0230442788865832,0.005870143390170408,2.0062435732947455,0.003605185457269728
"ChenLinear (bias=F, norm=F)",64,16384,512,False,0.3042278994874256,0.0007081780785275628,0.6898927637871276,0.0027759743757468976
"ChenLinear (bias=T, norm=T)",64,16384,512,False,0.559215300756952,0.006111375618915615,1.4782836437225342,0.004636814391020343
Poincare_Dist2Hyperplanes,64,16384,512,False,0.7083901319097965,0.004266408100209752,1.347762097483096,0.002753538462705382
Poincare_Linear,64,16384,512,False,1.2753252309301626,0.0035320998563564496,3.0227199842532477,0.004312223617404984
PoincareActivation (ReLU),64,16384,512,False,0.4843102024526012,0.00630883048660026,0.8171276223091852,0.0029853445839396614
Euclidean Linear,64,16384,512,False,0.10995484441518784,0.0007567721712110399,0.2673105434937911,0.0011542869443646629
Euclidean Linear no bias,64,16384,512,False,0.10444799810647964,0.0,0.22678027769853903,0.0009459865361096763
Euclidean Linear + ReLU,64,16384,512,False,0.1685959110657374,0.0011454885317198616,0.338827636431564,0.0012582323274691611
Euclidean Linear no bias + ReLU,64,16384,512,False,0.16167822082837421,0.001017659282013892,0.29891698161760966,0.0010969956393302642
Lorentz_FC (MLR),128,16384,512,False,0.5060303084393765,0.004236925041700551,0.8246225538578901,0.0021119246820754767
Lorentz_FC cached (MLR),128,16384,512,False,0.34125395431074984,0.0013808008386232275,0.6917477305545363,0.0012166025909633408
Lorentz_FC + ReLU,128,16384,512,False,0.5391246120134989,0.003003908715108836,0.9145949022336439,0.0022891430523268213
Lorentz_FC cached + ReLU,128,16384,512,False,0.37026504718739056,0.0011998138738048038,0.7820020810417507,0.003116607943149981
BdeirLorentzMLR,128,16384,512,False,1.0815836622359905,0.004401678113072771,2.171413391828537,0.003976861409517163
"ChenLinear (bias=F, norm=F)",128,16384,512,False,0.36168987446642936,0.0008945988658950125,0.7883662184079488,0.001897052028532605
"ChenLinear (bias=T, norm=T)",128,16384,512,False,0.6067313710848491,0.0030039061564874443,1.574606976610549,0.003590451838083987
Poincare_Dist2Hyperplanes,128,16384,512,False,0.7683921621200887,0.0038054759208118556,1.552275076825568,0.0030481992425710623
Poincare_Linear,128,16384,512,False,1.3351401842158774,0.004194793954296118,3.2245542089989843,0.0033565326390584214
PoincareActivation (ReLU),128,16384,512,False,0.48527151042101335,0.005478371781666034,0.8177570890296589,0.004223853752867978
Euclidean Linear,128,16384,512,False,0.16946009459883668,0.000676079911817201,0.37322473322803323,0.0014230681313539607
Euclidean Linear no bias,128,16384,512,False,0.1650501824915409,0.0006997311743159959,0.33040290529077704,0.0010457153013230102
Euclidean Linear + ReLU,128,16384,512,False,0.22735181242920632,0.0007485314572579378,0.44418327103961597,0.0012323530325301622
